代數,1000
粒子數,10
旋轉角度,0.0010000000
初始資金,10000000.0000000000
最後資金,10664424.3499999978
真實報酬,664424.3499999978
趨勢值,0.5722178396

選擇檔數,9
找到最佳解世代,686
Stock#,BA,CAT,DIS,DD,GS,IBM,MCD,PFE,WMT,
分配資金,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,
張數,3278,9209,8387,14600,6065,8662,5589,26505,10897,
剩餘資金,229.5800000000,45.1499999999,85.1100000000,51.0000000001,63.6500000000,36.2599999999,129.5800000000,21.4000000000,52.8800000001,
FS(1),1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,9999999.9999999981,
FS(2),1129893.9400000002,1124279.8699999999,1130820.4500000000,1082057.0000000000,1151685.8499999999,1149397.0400000000,1115861.6500000001,1119327.5499999998,1117649.2000000002,10120973.5500000007,
FS(3),1143432.0800000001,1133857.2300000000,1140213.8900000001,1093007.0000000000,1142952.2500000000,1139002.6400000001,1118656.1500000001,1125953.7999999998,1137917.6200000001,10174993.6599999983,
FS(4),1149627.5000000000,1136343.6599999999,1150865.3800000001,1060887.0000000000,1151261.2999999998,1145325.8999999999,1134976.0300000000,1132049.9500000000,1145436.5500000000,10206774.2699999996,
FS(5),1159658.1799999999,1146197.2899999998,1157826.5900000001,1075195.0000000000,1151261.2999999998,1154767.4800000000,1148557.3000000000,1137616.0000000000,1155788.7000000002,10286868.8399999999,
FS(6),1159985.9800000002,1157984.8099999998,1149691.2000000000,1076801.0000000000,1177401.4500000000,1167154.1400000001,1125195.2800000000,1141591.7500000000,1171698.3200000001,10327504.9299999997,
FS(7),1145333.3200000001,1172166.6699999999,1133001.0700000003,1076509.0000000000,1181101.0999999999,1177635.1599999999,1136149.7200000000,1130989.7500000000,1176275.0600000001,10329161.8499999978,
FS(8),1137793.9199999999,1170509.0499999998,1138368.7500000000,1072567.0000000000,1153747.9500000000,1168280.2000000000,1145483.3500000001,1141856.7999999998,1185864.4200000002,10314472.4399999995,
FS(9),1143792.6600000001,1171153.6799999999,1188858.4900000002,1092569.0000000000,1161207.8999999999,1175989.3799999999,1143024.1900000002,1126483.8999999999,1184011.9300000002,10387092.1299999990,
FS(10),1138220.0600000001,1171706.2200000000,1188103.6600000001,1096219.0000000000,1162481.5499999998,1170705.5600000001,1147495.3900000001,1133375.2000000000,1188588.6700000002,10396896.3099999987,
FS(11),1163591.7800000000,1172535.0299999998,1182400.5000000000,1091401.0000000000,1157447.6000000001,1168973.1599999999,1139223.6700000002,1136555.8000000000,1189569.4000000001,10401698.9399999995,
FS(12),1226070.4600000000,1200254.1200000001,1167890.9900000002,1084101.0000000000,1182617.3499999999,1181359.8200000001,1143135.9700000000,1141591.7500000000,1194908.9300000002,10521931.3900000006,
FS(13),1208369.2600000000,1202832.6400000001,1181981.1499999999,1065413.0000000000,1186620.2499999998,1187423.2200000002,1143359.5300000000,1152988.8999999999,1194582.0200000003,10523570.9699999988,
FS(14),1229086.2200000000,1230643.8199999998,1191206.8500000001,1094759.0000000000,1186984.1499999999,1202754.9600000000,1146545.2600000000,1155639.3999999999,1202209.9200000002,10639830.5800000001,
FS(15),1219121.1000000001,1233038.1599999997,1176194.1200000001,1089795.0000000000,1188439.7500000000,1205786.6599999999,1141738.7200000000,1157494.7500000000,1211036.4900000000,10622645.7499999981,
FS(16),1226168.8000000000,1237458.4800000000,1167723.2500000000,1090671.0000000000,1197840.5000000000,1207085.9600000000,1139838.4600000000,1159880.2000000000,1212235.1600000001,10638902.8099999987,
FS(17),1210860.5400000000,1231380.5400000000,1173761.8900000001,1082349.0000000000,1189167.5499999998,1198510.5800000001,1149842.7700000000,1159880.2000000000,1206568.7200000002,10602322.7900000010,
FS(18),1229282.9000000001,1244641.5000000000,1177619.9100000001,1078115.0000000000,1194929.2999999998,1199896.5000000000,1143359.5300000000,1139471.3499999999,1200466.4000000001,10607783.3900000006,
FS(19),1193487.1400000001,1247864.6499999999,1168394.2100000002,1077969.0000000000,1208939.4500000000,1199896.5000000000,1152972.6100000001,1151133.5499999998,1199812.5800000001,10600470.6899999995,
FS(20),1193454.3600000001,1255139.7599999998,1171245.7900000000,1096073.0000000000,1240962.6499999999,1194526.0600000001,1160741.3200000001,1148218.0000000000,1204062.4100000001,10664424.3499999978,
