Rank1,CAT,趨勢值,0.9099805204
Rank2,WMT,趨勢值,0.3753648010
Rank3,IBM,趨勢值,0.3701311761
Rank4,GS,趨勢值,0.3552010063
Rank5,MMM,趨勢值,0.3515950507
Rank6,XOM,趨勢值,0.3382967831
Rank7,HD,趨勢值,0.3350333045
Rank8,CVX,趨勢值,0.3349873917
Rank9,INTC,趨勢值,0.3259254288
Rank10,AAPL,趨勢值,0.3044512820
Rank11,MRK,趨勢值,0.2909531314
Rank12,PFE,趨勢值,0.2795099683
Rank13,AXP,趨勢值,0.2727914407
Rank14,BA,趨勢值,0.2705549895
Rank15,WBA,趨勢值,0.2688001409
Rank16,MCD,趨勢值,0.2677421018
Rank17,MSFT,趨勢值,0.2676452297
Rank18,JNJ,趨勢值,0.2612224708
Rank19,V,趨勢值,0.2505140494
Rank20,PG,趨勢值,0.2431257267
Rank21,DIS,趨勢值,0.2276523174
Rank22,NKE,趨勢值,0.1961132423
Rank23,UNH,趨勢值,0.1873331596
Rank24,CSCO,趨勢值,0.1848116816
Rank25,TRV,趨勢值,0.1812722496
Rank26,KO,趨勢值,0.1598377351
Rank27,VZ,趨勢值,0.1461953871
Rank28,JPM,趨勢值,0.1257304504
Rank29,UTX,趨勢值,0.0314251602
Rank30,DD,趨勢值,-2757777572.1000561714
