AAPL,AXP,IBM,NKE,V
173.3,114.62,128.27,77.96,158.6
179.64,116.85,132.69,81.62,162.33
182.54,118.12,131.49,82.72,165.39
185.22,119.43,132.22,82.45,166.92
190.15,121.11,133.31,83.41,170.05
192.58,122.66,134.74,82.58,170.82
194.81,123.23,135.95,83.26,170.31
194.19,122.03,134.87,82.63,171.59
194.15,121.86,135.76,83.61,169.35
192.74,122,135.15,83.44,169.66
193.89,121.45,134.95,82.11,169.56
198.45,123.43,136.38,84.3,169.28
197.87,124.68,137.08,83.55,170.69
199.46,124.92,138.85,85.24,173.74
198.78,124.73,139.2,85.75,173.44
198.58,124.14,139.35,84.5,173.85
195.57,123.16,138.36,82.62,171.28
199.8,123.59,138.52,82.55,171.06
199.74,123.94,138.52,83.66,171.23
197.92,123.44,137.9,83.95,173.55
